Date,City,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,AQI,AQI_Bucket
01-01-2015,Ahmedabad,,,0.92,18.22,17.15,,0.92,27.64,133.36,,
01-02-2015,Ahmedabad,,,0.97,15.69,16.46,,0.97,24.55,34.06,,
01-03-2015,Ahmedabad,,,17.4,19.3,29.7,,17.4,29.07,30.7,,
01-04-2015,Ahmedabad,,,1.7,18.48,17.97,,1.7,18.59,36.08,,
01-05-2015,Ahmedabad,,,22.1,21.42,37.76,,22.1,39.33,39.31,,
01-06-2015,Ahmedabad,,,45.41,38.48,81.5,,45.41,45.76,46.51,,
01-07-2015,Ahmedabad,,,112.16,40.62,130.77,,112.16,32.28,33.47,,
01-08-2015,Ahmedabad,,,80.87,36.74,96.75,,80.87,38.54,31.89,,
01-09-2015,Ahmedabad,,,29.16,31,48,,29.16,58.68,25.75,,
01-10-2015,Ahmedabad,,,,7.04,0,,,8.29,4.55,,
01-11-2015,Ahmedabad,,,132.07,55.8,24.53,,132.07,25.03,6.79,,
01-12-2015,Ahmedabad,,,52.04,40.67,90.24,,52.04,51.84,45.89,,
1/13/2015,Ahmedabad,,,48.82,44.2,87.09,,48.82,68.21,35.16,,
1/14/2015,Ahmedabad,,,19.2,27.86,33.05,,19.2,52.65,20.96,,
1/15/2015,Ahmedabad,,,0.6,16.96,16.6,,0.6,28.89,47.63,,
1/16/2015,Ahmedabad,,,1.63,21.72,22.86,,1.63,38.27,46.03,,
1/17/2015,Ahmedabad,,,11.44,24.73,34.75,,11.44,49.5,52.24,,
1/18/2015,Ahmedabad,,,6.1,25.77,29.57,,6.1,48.43,53.49,,
1/19/2015,Ahmedabad,,,2.51,26.88,27.45,,2.51,50.03,49.48,,
1/20/2015,Ahmedabad,,,7.92,26.8,32.4,,7.92,58.87,56.37,,
1/21/2015,Ahmedabad,,,9.52,33.56,39.28,,9.52,106.93,48.75,,
1/22/2015,Ahmedabad,,,9.05,17.51,22.33,,9.05,23.71,42.22,,
1/23/2015,Ahmedabad,,,22.53,27.96,47.79,,22.53,39.19,32.92,,
1/24/2015,Ahmedabad,,,2.03,20.39,21.4,,2.03,40.07,32.49,,
1/25/2015,Ahmedabad,,,1.42,20.43,20.19,,1.42,58.41,39.26,,
1/26/2015,Ahmedabad,,,2.27,21.16,21.81,,2.27,43.73,39.83,,
1/27/2015,Ahmedabad,,,2.19,21.7,23.26,,2.19,43.28,41.1,,
1/28/2015,Ahmedabad,73.24,,5.72,21.11,25.84,,5.72,36.52,62.42,,
1/29/2015,Ahmedabad,83.13,,6.93,28.71,33.72,,6.93,49.52,59.76,209,Poor
1/30/2015,Ahmedabad,79.84,,13.85,28.68,41.08,,13.85,48.49,97.07,328,Very Poor
03-11-2020,Aizawl,32.69,47.91,6.99,2.85,11.93,26.64,0.6,4.53,4.48,,
03-12-2020,Aizawl,31.21,38.66,7.2,1.27,10.65,25.63,0.56,4.22,2.81,52,Satisfactory
3/13/2020,Aizawl,38.39,46.68,7.19,0.91,10.37,29.16,0.57,4.46,0.18,60,Satisfactory
3/14/2020,Aizawl,43.23,50.83,7.14,1.07,10.48,28.95,0.57,4.53,0.41,62,Satisfactory
3/15/2020,Aizawl,33.82,41.03,7.09,0.36,9.73,28.41,0.48,4.63,0.3,70,Satisfactory
3/16/2020,Aizawl,27.14,35.04,5.63,2.32,8.09,23.98,0.5,4.71,13.02,54,Satisfactory
3/17/2020,Aizawl,27.32,35.75,3.07,2.14,3.41,24.57,0.48,4.84,6.03,40,Good
3/18/2020,Aizawl,31.76,41.51,3,1.48,5.24,23.42,0.47,5.04,8.76,51,Satisfactory
3/19/2020,Aizawl,43.8,53.59,2.97,1.31,4.97,23.41,0.48,5.3,9.96,63,Satisfactory
3/20/2020,Aizawl,35.48,44.02,3.01,0.83,4.64,24.85,0.49,5.32,6.43,69,Satisfactory
3/21/2020,Aizawl,51.27,60.05,3.01,0.88,4.62,24.44,0.49,5.63,8.62,70,Satisfactory
3/22/2020,Aizawl,33.24,40.33,2.93,0.13,3.65,18.55,0.37,5.41,5.64,71,Satisfactory
3/23/2020,Aizawl,35.34,41.55,2.98,0.16,3.71,20.24,0.32,5.63,5.73,53,Satisfactory
3/24/2020,Aizawl,47.34,56.65,2.96,0.14,3.66,20.21,0.37,6.17,5.59,66,Satisfactory
3/25/2020,Aizawl,53.64,62.86,2.96,0.17,3.77,25.43,0.44,6.75,6.44,92,Satisfactory
3/26/2020,Aizawl,54.9,62.7,2.96,0.13,3.69,25.48,0.42,6.8,5.87,89,Satisfactory
3/27/2020,Aizawl,44.64,53.86,2.94,0.11,3.59,28.26,0.4,7.34,6.42,82,Satisfactory
3/28/2020,Aizawl,51.33,60.03,2.92,0.35,3.89,29.89,0.44,7.69,8.76,71,Satisfactory
3/29/2020,Aizawl,34.54,41.95,2.93,0.13,3.64,28.47,0.36,7.8,7.99,81,Satisfactory
3/30/2020,Aizawl,39.47,48.07,2.93,0.24,3.79,29.05,0.42,7.67,7.4,60,Satisfactory
3/31/2020,Aizawl,27.27,33.9,2.95,0.25,3.8,30.99,0.4,7.9,6.74,51,Satisfactory
04-01-2020,Aizawl,38.6,49.19,2.98,0.26,3.94,32.95,0.45,8.11,6.12,62,Satisfactory
04-02-2020,Aizawl,36.22,48.66,2.93,0.25,3.86,32.94,0.4,8.36,9.24,64,Satisfactory
04-03-2020,Aizawl,30.35,39.84,2.9,0.21,3.75,23.37,0.29,8.25,10.87,54,Satisfactory
04-04-2020,Aizawl,24.05,41.95,2.97,0.25,3.79,21.6,0.26,8.16,11.09,43,Good
04-05-2020,Aizawl,26.47,33.51,2.96,0.08,3.5,26,0.31,8.79,5.76,44,Good
04-06-2020,Aizawl,35.13,43.65,2.96,0.15,3.69,25.1,0.31,8.49,7.94,48,Good
04-07-2020,Aizawl,33.19,42.17,2.92,0.3,3.85,22.71,0.3,8.78,13.38,61,Satisfactory
04-08-2020,Aizawl,24.92,31.74,2.97,0.18,3.74,23.73,0.27,8.69,9.67,45,Good
04-09-2020,Aizawl,39.15,45.79,3.32,0.31,4.47,22.95,0.39,7.81,7.66,59,Satisfactory
11/24/2017,Amaravati,71.36,115.75,1.75,20.65,12.4,12.19,0.1,10.76,109.26,,
11/25/2017,Amaravati,81.4,124.5,1.44,20.5,12.08,10.72,0.12,15.24,127.09,184,Moderate
11/26/2017,Amaravati,78.32,129.06,1.26,26,14.85,10.28,0.14,26.96,117.44,197,Moderate
11/27/2017,Amaravati,88.76,135.32,6.6,30.85,21.77,12.91,0.11,33.59,111.81,198,Moderate
11/28/2017,Amaravati,64.18,104.09,2.56,28.07,17.01,11.42,0.09,19,138.18,188,Moderate
11/29/2017,Amaravati,72.47,114.84,5.23,23.2,16.59,12.25,0.16,10.55,109.74,173,Moderate
11/30/2017,Amaravati,69.8,114.86,4.69,20.17,14.54,10.95,0.12,14.07,118.09,165,Moderate
12-01-2017,Amaravati,73.96,113.56,4.58,19.29,13.97,10.95,0.1,13.9,123.8,191,Moderate
12-02-2017,Amaravati,89.9,140.2,7.71,26.19,19.87,13.12,0.1,19.37,128.73,191,Moderate
12-03-2017,Amaravati,87.14,130.52,0.97,21.31,12.12,14.36,0.15,11.41,114.8,227,Poor
12-04-2017,Amaravati,84.64,125,4.02,26.98,17.58,14.41,0.18,9.84,112.41,168,Moderate
12-05-2017,Amaravati,88.36,121.77,3.7,20.23,13.75,13.72,0.12,14.02,117.93,198,Moderate
12-06-2017,Amaravati,96.83,139.36,1.6,25.65,14.99,15.12,0.11,16.54,117.21,201,Poor
12-07-2017,Amaravati,117.46,181.64,4.26,41.1,25.32,17.34,0.13,28.79,94.63,252,Poor
12-08-2017,Amaravati,122.88,208.86,5.56,54.87,33.71,17.96,0.27,22.97,68.6,310,Very Poor
12-09-2017,Amaravati,74.28,141.22,6.1,44.97,28.88,15.73,0.09,21.9,60.62,196,Moderate
12-10-2017,Amaravati,50.32,102.77,1.73,33.85,19.41,12.56,0.1,13.65,68.15,132,Moderate
12-11-2017,Amaravati,58.47,115.27,4.93,41.64,26.15,15.2,0.16,18.37,73.75,147,Moderate
12-12-2017,Amaravati,89.35,131.48,7.97,42.1,28.88,21.24,0.24,7.42,44.67,179,Moderate
12/13/2017,Amaravati,64.42,99.74,7.2,34.78,24.36,17.63,0.15,5.81,50.16,145,Moderate
12/14/2017,Amaravati,69.4,98.94,5.81,29.97,20.67,19.34,0.14,5.8,55,115,Moderate
12/15/2017,Amaravati,71.07,109.65,4.19,25,16.7,16,0.1,8.33,79.04,140,Moderate
12/16/2017,Amaravati,79.76,129.81,8.77,40.92,28.84,15.56,0.17,8.51,73.17,156,Moderate
12/17/2017,Amaravati,108.06,167.62,7.29,47.05,30.94,18.52,0.08,16.05,70.74,225,Poor
12/18/2017,Amaravati,100.75,172.04,7.63,53.94,33.45,18.49,0.11,14.05,59.2,251,Poor
12/19/2017,Amaravati,106.25,171.56,2.74,43.09,21.78,19.66,0.13,15.45,66.9,228,Poor
12/20/2017,Amaravati,83.79,141.83,6.77,47.47,30.74,17.37,0.3,13.35,77.54,223,Poor
12/21/2017,Amaravati,79.98,147.74,7.02,49.55,32.07,17.28,0.14,13.58,79.71,170,Moderate
12/22/2017,Amaravati,76.27,152.59,7.51,56,35.9,19.53,0.15,29.88,56.97,165,Moderate
12/23/2017,Amaravati,86.5,147.95,5.24,42,26.6,20.78,0.15,11.85,73.09,159,Moderate
2/27/2017,Amritsar,13.42,14.92,15.06,8.86,,1.6,0.81,11,12.96,,
2/28/2017,Amritsar,12.45,13.8,17.44,8.05,,1.73,0.67,16.06,11.88,52,Satisfactory
03-01-2017,Amritsar,19.52,21.88,14.77,6.02,,1.48,0.43,26.24,11.53,31,Good
03-02-2017,Amritsar,77.71,80.27,10.49,3.88,,1.29,0.36,22.35,18.68,106,Moderate
03-03-2017,Amritsar,19.7,33.08,9.91,3.13,,1.15,0.37,14.29,22.22,98,Satisfactory
03-04-2017,Amritsar,22.91,56.19,10.69,4.13,,1.86,0.47,8.42,26.62,61,Satisfactory
03-05-2017,Amritsar,29.56,44.5,8.95,2.66,,1.26,0.39,10.95,27.03,62,Satisfactory
03-06-2017,Amritsar,46.13,62.88,9.62,4.89,,1.99,0.54,30.27,26.3,78,Satisfactory
03-07-2017,Amritsar,44.3,52.12,9.4,5.32,,2.4,0.36,28.74,20.63,72,Satisfactory
03-08-2017,Amritsar,41.23,52.75,11.18,7.88,,2.51,0.39,21.4,22.44,71,Satisfactory
03-09-2017,Amritsar,29.88,33.2,10.64,11.66,,2.31,0.36,4.26,21.11,59,Satisfactory
03-10-2017,Amritsar,37.93,43.69,12.84,15.11,,2.05,0.2,6.38,25.06,73,Satisfactory
03-11-2017,Amritsar,32.46,50.76,10.93,19.67,,6.82,0,4.71,18.79,56,Satisfactory
03-12-2017,Amritsar,25.65,54.59,12.14,26.15,,11.73,0,8.32,15.64,55,Satisfactory
3/13/2017,Amritsar,41.36,77.43,11.4,25.88,,11.71,0,4.75,20.27,69,Satisfactory
3/14/2017,Amritsar,51.88,86.64,9.24,25.21,,11.76,0,7.72,30.34,80,Satisfactory
3/15/2017,Amritsar,51.59,86.11,10.03,26.05,,12.33,0,9.06,24.63,89,Satisfactory
3/16/2017,Amritsar,45.46,82.73,13.23,26.38,,12.56,0,2.94,19.36,79,Satisfactory
3/17/2017,Amritsar,152.17,93.68,13.86,27.06,,12.45,0,3.17,21.78,262,Poor
3/18/2017,Amritsar,72.87,98.47,10.71,26.07,,12.03,0,3.56,12.86,184,Moderate
3/19/2017,Amritsar,73.26,97.64,10.47,25.73,,11.99,0,1.85,11.77,138,Moderate
3/20/2017,Amritsar,65.26,95.91,9.38,25.23,,12.4,0,1.31,19.98,138,Moderate
3/21/2017,Amritsar,56.39,92.68,10.42,26.26,,12.67,0,2.97,19.83,100,Satisfactory
3/22/2017,Amritsar,55.43,88.17,13.56,28.39,,13,0,1.91,13.71,89,Satisfactory
3/23/2017,Amritsar,40.95,77.09,11.86,26.26,,12.72,0,1.03,21.21,84,Satisfactory
3/24/2017,Amritsar,40.99,67.5,9.68,24.95,,12.41,0,0.86,20.82,72,Satisfactory
3/25/2017,Amritsar,57.49,80.09,8.06,23.95,,11.87,0,2.29,24.66,90,Satisfactory
3/26/2017,Amritsar,45.98,72.74,8.94,23.68,,12.35,0,7.96,24.14,84,Satisfactory
3/27/2017,Amritsar,47.2,78.45,12.41,27.32,,12.16,0,3.29,31.95,74,Satisfactory
3/28/2017,Amritsar,58.95,83.09,10.69,30.37,,12.03,0,4.97,33.22,96,Satisfactory
3/29/2017,Amritsar,39.4,66.81,12.1,30.1,,12.31,0,2.04,33.88,76,Satisfactory
3/21/2015,Bengaluru,48.59,,3.47,27,18.04,28.02,3.89,1.94,52.96,91,Satisfactory
3/22/2015,Bengaluru,47.38,,2.84,22.39,15.33,23.19,11.29,2.05,71.85,120,Moderate
3/23/2015,Bengaluru,65.65,,3.1,26.35,17.45,27.76,9.95,6.3,72.84,154,Moderate
3/24/2015,Bengaluru,60.47,,5.39,29.87,20.88,35.1,1.46,6.07,64.12,119,Moderate
3/25/2015,Bengaluru,62.56,,3.16,23.57,16.39,27.13,10.05,4.98,82.34,232,Poor
3/26/2015,Bengaluru,60.73,,4.16,32.07,21.03,34.71,1.44,1.67,67.21,132,Moderate
3/27/2015,Bengaluru,42.1,,4.01,25.55,17.37,30.96,2.85,2.46,51.93,123,Moderate
3/28/2015,Bengaluru,40,,2.93,17.99,11.36,28.74,8.07,2.5,44.65,152,Moderate
3/29/2015,Bengaluru,32.16,,2.38,12.9,8.3,21.5,8.53,2.08,56.31,143,Moderate
3/30/2015,Bengaluru,30.78,,2.68,16.23,14.63,26.96,1.46,2.63,49.52,80,Satisfactory
3/31/2015,Bengaluru,38.99,,2.6,10.97,12.7,27.52,1.79,2.79,47.67,90,Satisfactory
04-01-2015,Bengaluru,36.42,,2.68,8.83,9.13,31.37,9.6,3.17,48.25,151,Moderate
04-02-2015,Bengaluru,38.15,,4.24,10.29,9.99,43.09,4.06,7.65,53.26,123,Moderate
04-03-2015,Bengaluru,35.11,,2.63,5.99,6.82,26.04,5.34,2.32,57.75,178,Moderate
04-04-2015,Bengaluru,36.68,,3.63,12.89,10.88,40.71,1.47,3.29,76.36,101,Moderate
04-05-2015,Bengaluru,36.92,,2.2,9,7.6,26.22,9.58,4.07,65.62,160,Moderate
04-06-2015,Bengaluru,31.78,,2.48,8.14,8.06,22.34,0.55,7.22,54.31,71,Satisfactory
04-07-2015,Bengaluru,37.25,,2.86,7.14,11.25,17.78,2.3,5.88,60.42,76,Satisfactory
04-08-2015,Bengaluru,29.8,,2.59,9.04,7.52,24.2,6.84,1.84,49.55,153,Moderate
04-09-2015,Bengaluru,25.06,,3.21,8.72,7.2,29.83,5.82,2.6,42.63,80,Satisfactory
04-10-2015,Bengaluru,24.4,,6.87,7.46,8.7,23.17,5.19,2.03,44.47,129,Moderate
04-11-2015,Bengaluru,32.08,,6.6,7.09,8.82,30.95,1.7,3.22,53.91,107,Moderate
04-12-2015,Bengaluru,19.72,,1.81,4.97,5.51,34.85,2.65,5.16,44.53,122,Moderate
4/13/2015,Bengaluru,17.03,,2.17,8.53,9.95,34.3,2.23,2.75,39.03,85,Satisfactory
4/14/2015,Bengaluru,19.73,,2.26,6.1,6.13,27.48,1.4,4.66,57.7,62,Satisfactory
4/15/2015,Bengaluru,22.52,,6.71,4.86,14.02,15.15,5.45,4.9,77.05,177,Moderate
4/16/2015,Bengaluru,21.36,,2.86,7.98,12.69,16.61,0.97,29.11,96.88,152,Moderate
4/17/2015,Bengaluru,24.35,,3.06,6.64,7.42,38.54,12.93,2.58,97.2,210,Poor
4/18/2015,Bengaluru,18.33,,2.4,5.98,6.47,21.02,3.84,3.99,101.63,170,Moderate
4/19/2015,Bengaluru,17.66,,1.85,6.58,5.89,21.93,0.48,2.49,81.34,135,Moderate
4/20/2015,Bengaluru,27.46,,2.53,7.91,7.1,24.78,4.58,5.53,37.22,118,Moderate
2/26/2020,Bhopal,56.79,182.16,26.5,52.94,49.79,18.01,1.06,21.11,51.59,137,Moderate
2/27/2020,Bhopal,45.15,164.28,9.62,41.04,29.74,17.34,1,8.22,63.08,152,Moderate
2/28/2020,Bhopal,45.67,143.39,2.47,35.5,20.97,16.08,0.76,23.42,77.11,141,Moderate
2/29/2020,Bhopal,57.17,177.99,13.46,47.39,36.23,16.95,1.18,31.84,61.89,134,Moderate
03-01-2020,Bhopal,56.96,156.55,5.85,35.63,23.8,21.11,1.01,25.01,68.96,149,Moderate
03-02-2020,Bhopal,42.46,103.2,3,29.98,18.48,20.47,0.75,15.23,66.4,122,Moderate
03-03-2020,Bhopal,35.71,127.07,3.65,27.86,17.87,14.47,0.68,14.06,69.86,111,Moderate
03-04-2020,Bhopal,50.42,150.43,2.5,26.59,16.27,15.87,0.65,10.82,77.01,128,Moderate
03-05-2020,Bhopal,31.62,139.82,2.23,20.25,12.67,11.22,0.46,11.88,74.61,129,Moderate
03-06-2020,Bhopal,39,152.86,2.36,19.42,12.33,12.66,0.46,11.8,56.95,134,Moderate
03-07-2020,Bhopal,31.08,136.03,3.96,25.61,16.93,10.92,0.59,12.4,73.08,126,Moderate
03-08-2020,Bhopal,26.46,90.56,4.44,27.92,18.55,11.62,0.71,12.32,65.71,108,Moderate
03-09-2020,Bhopal,21.71,76.47,3.9,27.85,18.07,12.02,0.71,15.43,68.42,88,Satisfactory
03-10-2020,Bhopal,39.17,90.15,2.52,21.5,13.59,18.53,0.79,9.86,67.84,96,Satisfactory
03-11-2020,Bhopal,28.29,79.64,1.95,13.84,9.03,18.37,0.46,9.95,67.6,87,Satisfactory
03-12-2020,Bhopal,22.35,90.17,2.05,14.28,9.35,10.48,0.39,7.29,77.34,94,Satisfactory
3/13/2020,Bhopal,20.58,120.75,6.24,27.12,19.57,6.91,0.66,14.67,71.87,98,Satisfactory
3/14/2020,Bhopal,24.67,136.07,2.1,20.28,12.59,7.68,0.51,14.59,74.51,126,Moderate
3/15/2020,Bhopal,31.08,149.46,7.44,33.84,24.13,9.91,0.91,8.41,68.34,126,Moderate
3/16/2020,Bhopal,32.78,138.8,7.14,37.17,25.58,13.22,0.99,9.03,64.88,133,Moderate
3/17/2020,Bhopal,29.44,112.15,2.98,30.64,18.8,14.25,0.78,10.44,78.11,124,Moderate
3/18/2020,Bhopal,30.25,97.28,2.47,30.26,18.2,14.35,0.79,12.89,82.85,109,Moderate
3/19/2020,Bhopal,37.56,121.09,3.37,35.15,21.52,15.42,0.93,12.13,72.94,110,Moderate
3/20/2020,Bhopal,38.33,115.47,2.26,25.91,15.7,15.65,0.62,18.02,74.85,121,Moderate
3/21/2020,Bhopal,48.89,155.55,2.72,23.62,14.86,11.96,0.78,10.45,78.9,118,Moderate
3/22/2020,Bhopal,41.97,118.18,1.68,18.18,11.13,16.18,0.62,13.7,71.63,138,Moderate
3/23/2020,Bhopal,39.45,120.22,1.94,21.97,13.32,16.32,0.72,13.72,64.16,106,Moderate
3/24/2020,Bhopal,35.52,113.66,1.6,15.64,9.71,16.45,0.55,12.88,68.08,118,Moderate
3/25/2020,Bhopal,23.88,71.03,1.61,9.83,6.62,20.97,0.37,12.78,64.94,96,Satisfactory
3/26/2020,Bhopal,22.93,41.62,1.63,10.67,7.09,24.4,0.37,12.27,65.58,82,Satisfactory
1/31/2017,Chennai,100.68,,3.15,9.77,7.61,,0.01,2.52,39.08,70,Satisfactory
02-01-2017,Chennai,45.13,,8.63,15.97,14.73,,0.04,4.57,28.68,130,Moderate
02-02-2017,Chennai,52.59,,8.83,16.78,15.28,,0.1,2.89,28.39,89,Satisfactory
02-03-2017,Chennai,50.38,,7.52,17.14,14.48,,0.16,3.39,27.27,81,Satisfactory
02-04-2017,Chennai,67.15,,8.24,16.29,14.6,,0.03,3.89,39.87,105,Moderate
02-05-2017,Chennai,77.17,,7.25,14.91,13.19,,0.05,4.05,39.5,149,Moderate
02-06-2017,Chennai,72.94,,7.25,17.57,14.49,,0.02,4.3,36.86,148,Moderate
02-07-2017,Chennai,83.86,,9,19.87,16.92,,0.04,5.84,46.22,166,Moderate
02-08-2017,Chennai,80.59,,8.97,20.01,16.96,,0.03,3.62,37.86,183,Moderate
02-09-2017,Chennai,91.75,,8.27,18.12,15.51,,0,3.88,43.21,183,Moderate
02-10-2017,Chennai,89,,8.11,18.46,15.55,,0,4.36,37.69,217,Poor
02-11-2017,Chennai,84.05,,8.82,16.24,15.01,,0,4.06,29.51,186,Moderate
02-12-2017,Chennai,56.6,,5.56,11.82,10.42,,0.06,3.51,39.34,126,Moderate
2/13/2017,Chennai,54.94,,6.57,13.42,11.96,,0.17,3.6,23.36,89,Satisfactory
2/14/2017,Chennai,45.2,,5.27,11.63,10.12,,0.3,2.15,46.81,80,Satisfactory
2/15/2017,Chennai,63.51,,6.44,14.78,12.52,,0.22,3.45,43.83,95,Satisfactory
2/16/2017,Chennai,63.42,,6.53,14.29,12.31,,0.09,2.54,63.2,125,Moderate
2/17/2017,Chennai,77.03,,6.43,14.45,12.35,,0.03,2.97,62.53,141,Moderate
2/18/2017,Chennai,71.15,,10.01,18.02,16.77,,0,2.84,40.78,151,Moderate
2/19/2017,Chennai,71.72,,9.26,15.74,15.09,,0,4.2,37.49,142,Moderate
2/20/2017,Chennai,50.86,,6.18,13.46,11.68,,0.03,2.6,36.87,116,Moderate
2/21/2017,Chennai,51.46,,4.63,12.75,10.18,,0.01,3.32,33.87,88,Satisfactory
2/22/2017,Chennai,56.59,,5.82,12.53,10.96,,0,3.97,25.89,92,Satisfactory
2/23/2017,Chennai,42.42,,6.73,12.56,11.66,,0.07,3.83,20.3,76,Satisfactory
2/24/2017,Chennai,45.27,,8.76,14.29,14.01,,0,4.05,14.13,80,Satisfactory
2/25/2017,Chennai,37.91,,7.78,12.73,12.52,,0.04,4.08,18.29,69,Satisfactory
2/26/2017,Chennai,44.1,,6.67,9.6,10.17,,0,4.42,18.06,65,Satisfactory
2/27/2017,Chennai,59.53,,5.22,6.09,7.38,,0.01,4.48,19.94,90,Satisfactory
2/28/2017,Chennai,65.96,,5.92,9.97,10.2,,0.23,6.25,27.15,108,Moderate
03-01-2017,Chennai,82.44,,7.78,17.92,20.16,,0.27,7.02,54.36,157,Moderate
03-02-2017,Chennai,72.86,,7.36,19,20.36,,0.13,6.2,35.08,152,Moderate
11/26/2019,Coimbatore,44.08,56.18,10.09,29.24,39.33,3.39,0.78,13.34,34.43,78,Satisfactory
11/27/2019,Coimbatore,35.34,45.8,8.78,23.67,32.45,3.29,0.72,12.21,35.72,66,Satisfactory
